country,continent,date,total_cases,total_deaths,population,median_age,diabetes_prevalence,latitude,longitude
Moldova,Europe,10/26/2020,71503,1685,4033963,37.6,5.72,47.411631,28.369885
Monaco,Europe,10/26/2020,306,1,39244,NA,5.46,43.750298,7.412841
Mongolia,Asia,10/26/2020,339,0,3278292,28.6,4.82,46.862496,103.846656
Montenegro,Europe,10/26/2020,16797,266,628062,39.1,10.08,42.708678,19.37439
Montserrat,North America,10/26/2020,13,1,4999,NA,NA,16.742498,-62.187366
Morocco,Africa,10/26/2020,197481,3301,36910558,29.6,7.14,31.791702,-7.09262
Mozambique,Africa,10/26/2020,11986,86,31255435,17.7,3.3,-18.665695,35.529562
Myanmar,Asia,10/26/2020,44774,1095,54409794,29.1,4.61,16.871,96.199
Namibia,Africa,10/26/2020,12660,133,2540916,22,3.94,-22.95764,18.49041
Nepal,Asia,10/26/2020,158089,847,29136808,25,7.26,28.394857,84.124008
Netherlands,Europe,10/26/2020,290925,7036,17134873,43.2,5.29,52.132633,5.291266
New Caledonia,Oceania,10/26/2020,27,0,285491,33.4,23.36,-20.904305,165.618042
New Zealand,Oceania,10/26/2020,1584,25,4822233,37.9,8.08,-40.900557,174.885971
Nicaragua,North America,10/26/2020,5434,155,6624554,27.3,11.47,12.865416,-85.207229
Niger,Africa,10/26/2020,1215,69,24206636,15.1,2.42,17.607789,8.081666
Nigeria,Africa,10/26/2020,61992,1130,206139587,18.1,2.42,9.081999,8.675277
Northern Mariana Islands,Oceania,10/26/2020,92,2,57557,NA,NA,17.33083,145.38469
Norway,Europe,10/26/2020,17232,279,5421242,39.7,5.31,60.472024,8.468946
Oman,Asia,10/26/2020,112932,1174,5106622,30.7,12.61,21.512583,55.923255
Pakistan,Asia,10/26/2020,328602,6739,220892331,23.5,8.35,30.375321,69.345116
Palestine,Asia,10/26/2020,62046,518,5101416,20.4,10.59,31.947,35.227
Panama,North America,10/26/2020,129200,2633,4314768,29.7,8.33,8.537981,-80.782127
Papua New Guinea,Oceania,10/26/2020,588,7,8947027,22.6,17.65,-6.314993,143.95555
Paraguay,South America,10/26/2020,59594,1309,7132530,26.5,8.27,-23.442503,-58.443832
Peru,South America,10/26/2020,888715,34149,32971846,29.1,5.95,-9.189967,-75.015152
Philippines,Asia,10/26/2020,370028,6977,109581085,25.2,7.07,12.879721,121.774017
Poland,Europe,10/26/2020,253688,4438,37846605,41.8,5.91,51.919438,19.145136
Portugal,Europe,10/26/2020,118686,2316,10196707,46.2,9.85,39.399872,-8.224454
Puerto Rico,North America,10/26/2020,62503,801,2860840,38.2,12.9,18.220833,-66.590149
Qatar,Asia,10/26/2020,131170,230,2881060,31.9,16.52,25.354826,51.183884
Romania,Europe,10/26/2020,209648,6391,19237682,43,9.74,45.943161,24.96676
Russia,Europe,10/26/2020,1513877,26050,145934460,39.6,6.18,61.52401,105.318756
Rwanda,Africa,10/26/2020,5066,34,12952209,20.3,4.28,-1.940278,29.873888
Saint Lucia,North America,10/26/2020,54,0,183629,34.9,11.62,13.909444,-60.978893
Saint Vincent and the Grenadines,North America,10/26/2020,73,0,110947,31.8,11.62,12.984305,-61.287228
San Marino,Europe,10/26/2020,819,42,33938,NA,5.64,43.94236,12.457777
Saudi Arabia,Asia,10/26/2020,344875,5296,34813867,31.9,17.72,23.885942,45.079162
Senegal,Africa,10/26/2020,15551,321,16743930,18.7,2.42,14.497401,-14.452362
Serbia,Europe,10/26/2020,39486,792,6804596,41.2,10.08,44.016521,21.005859
Sierra Leone,Africa,10/26/2020,2346,74,7976985,19.1,2.42,8.460555,-11.779889
Singapore,Asia,10/26/2020,57970,28,5850343,42.4,10.99,1.352083,103.819836
Slovakia,Europe,10/26/2020,43843,159,5459643,41.2,7.29,48.669026,19.699024
Slovenia,Europe,10/26/2020,22950,183,2078932,44.5,7.25,46.151241,14.995463
Solomon Islands,Oceania,10/26/2020,4,0,686878,20.8,18.68,-9.64571,160.156194
Somalia,Africa,10/26/2020,3941,104,15893219,16.8,6.05,5.152149,46.199616
South Africa,Africa,10/26/2020,715868,18968,59308690,27.3,5.52,-30.559482,22.937506
South Korea,Asia,10/26/2020,25955,457,51269183,43.4,6.8,35.907757,127.766922
South Sudan,Africa,10/26/2020,2883,56,11193729,19.2,10.43,4.859,31.571
Sri Lanka,Asia,10/26/2020,7872,15,21413250,34.1,10.68,7.873054,80.771797
Sudan,Africa,10/26/2020,13742,837,43849269,19.7,15.67,12.862807,30.217636
Suriname,South America,10/26/2020,5170,109,586634,29.6,12.54,3.919305,-56.027783
